BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.003	-0.002	-0.002	-0.001	-0.005	-0.0	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
0.25	0.037	0.038	0.001	-0.002	-0.003	-0.001	-0.003	-0.002	0	0	0	0	0	0	0	0	1000.0
0.5	0.076	0.077	-0.001	-0.002	0.002	0.002	0.0	-0.001	0	0	0	0	0	0	0	0	1000.0
0.75	0.112	0.113	0.0	-0.003	0.001	0.001	-0.004	-0.0	0	0	0	0	0	0	0	0	1000.0
1.0	0.147	0.15	0.001	-0.002	0.002	0.002	0.0	0.003	0	0	0	0	0	0	0	0	1000.0
1.25	0.188	0.187	0.001	-0.002	-0.0	-0.003	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
1.5	0.225	0.228	-0.001	0.0	-0.003	0.002	-0.002	-0.001	0	0	0	0	0	0	0	0	1000.0
1.75	0.261	0.264	0.0	-0.003	0.001	0.001	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
2.0	0.297	0.298	-0.002	-0.001	-0.0	-0.0	-0.005	-0.001	0	0	0	0	0	0	0	0	1000.0
2.25	0.335	0.338	-0.001	-0.002	-0.001	0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	1000.0
2.5	0.373	0.374	-0.004	-0.005	0.001	-0.001	-0.001	-0.004	0	0	0	0	0	0	0	0	1000.0
2.75	0.413	0.416	-0.001	0.0	0.001	0.001	-0.001	-0.002	0	0	0	0	0	0	0	0	1000.0
3.0	0.449	0.453	-0.001	-0.002	0.004	0.002	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
3.25	0.483	0.489	0.0	-0.003	-0.001	-0.001	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
3.5	0.524	0.528	0.003	-0.003	-0.0	-0.0	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
3.75	0.562	0.563	0.001	-0.002	-0.001	0.016	-0.001	-0.0	0	0	0	0	0	0	0	0	1000.0
4.0	0.6	0.601	-0.002	-0.003	0.001	0.021	-0.001	-0.004	0	0	0	0	0	0	0	0	1000.0
4.25	0.635	0.636	0.001	-0.002	0.002	0.039	-0.005	0.003	0	0	0	0	0	0	0	0	1000.0
4.5	0.676	0.674	-0.004	-0.001	-0.0	0.075	0.0	0.001	0	0	0	0	0	0	0	0	1000.0
4.75	0.708	0.709	-0.001	-0.002	-0.0	0.124	-0.005	-0.001	0	0	0	0	0	0	0	0	1000.0
