BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	-0.0	-0.001	0.001	-0.002	-0.001	-0.003	-0.003	-0.002	0	0	0	0	1	0	0	1	100.0
0.25	0.034	0.035	0.0	-0.005	-0.001	0.001	-0.003	-0.004	0	0	0	0	0	0	0	0	100.0
0.5	0.073	0.071	-0.002	-0.001	-0.001	0.001	-0.003	-0.0	0	0	0	0	0	0	0	0	100.0
0.75	0.112	0.11	0.0	-0.003	0.001	0.001	-0.004	-0.0	0	0	0	0	0	0	0	0	100.0
1.0	0.146	0.149	-0.002	-0.005	-0.003	-0.0	0.0	0.001	0	0	0	0	0	0	0	0	100.0
1.25	0.183	0.187	-0.001	0.0	0.001	0.001	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
1.5	0.222	0.225	0.0	-0.003	-0.001	-0.001	-0.005	-0.0	0	0	0	0	0	0	0	0	100.0
1.75	0.258	0.261	0.0	-0.001	-0.001	-0.001	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
2.0	0.296	0.299	-0.001	-0.002	0.001	0.001	-0.001	-0.008	0	0	0	0	0	0	0	0	100.0
2.25	0.335	0.336	0.001	0.0	-0.002	-0.0	-0.002	-0.001	0	0	0	0	0	0	0	0	100.0
2.5	0.371	0.372	-0.004	-0.001	0.001	-0.001	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
2.75	0.41	0.411	-0.002	-0.001	-0.002	-0.0	-0.002	-0.003	0	0	0	0	0	0	0	0	100.0
3.0	0.446	0.447	-0.004	-0.003	0.002	0.002	0.002	0.001	0	0	0	0	0	0	0	0	100.0
3.25	0.483	0.484	-0.002	-0.003	-0.001	-0.003	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
3.5	0.52	0.521	-0.004	-0.005	-0.002	0.001	-0.004	-0.003	0	0	0	0	0	0	0	0	100.0
3.75	0.556	0.561	-0.003	-0.004	0.001	0.021	-0.003	-0.002	0	0	0	0	0	0	0	0	100.0
4.0	0.6	0.599	-0.002	-0.003	-0.002	0.023	-0.006	-0.0	0	0	0	0	0	0	0	0	100.0
4.25	0.632	0.633	0.0	-0.003	0.001	0.036	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
4.5	0.674	0.673	0.001	0.0	0.001	0.072	0.002	-0.002	0	0	0	0	0	0	0	0	100.0
4.75	0.71	0.706	0.0	-0.003	0.001	0.124	-0.001	-0.002	0	0	0	0	0	0	0	0	100.0
5.0	0.747	0.748	-0.002	-0.003	0.001	0.163	-0.001	-0.0	0	0	0	0	0	0	0	0	100.0
5.25	0.783	0.784	-0.004	-0.001	-0.003	0.172	-0.005	-0.002	0	0	0	0	0	0	0	0	100.0
5.5	0.82	0.823	0.0	-0.003	-0.004	0.233	-0.001	-0.003	0	0	0	0	0	0	0	0	100.0
5.75	0.857	0.86	0.0	-0.003	-0.002	0.247	-0.004	-0.0	0	0	0	0	0	0	0	0	100.0
