Stage position (µm);Coincidence rate (Hz) - T&B;Count rate (Hz) - B;g2(0) - T&A&B;Capture duration (ms);Counts - T;Counts - A;Counts - B;Counts - T&A;Counts - T&B;Counts - T&A&B;Counts - A&B
8,99503;1838,00;8541,00;NaN;1000,00;187035;25,0000;8541,00;0,00000;1838,00;0,00000;0,00000
9,06217;2318,00;8853,00;NaN;1000,00;186215;37,0000;8853,00;0,00000;2318,00;0,00000;0,00000
9,13114;2352,00;8727,00;NaN;1000,00;186342;30,0000;8727,00;0,00000;2352,00;0,00000;0,00000
9,20255;1858,00;8297,00;0,00000;1000,00;186482;21,0000;8297,00;1,00000;1858,00;0,00000;0,00000
9,27152;1393,00;7991,00;NaN;1000,00;186048;41,0000;7991,00;0,00000;1393,00;0,00000;0,00000
9,34172;1339,00;8198,00;NaN;1000,00;186670;31,0000;8198,00;0,00000;1339,00;0,00000;0,00000
9,40947;1732,00;8573,00;NaN;1000,00;186597;33,0000;8573,00;0,00000;1732,00;0,00000;0,00000
9,47966;2239,00;9041,00;NaN;1000,00;186364;28,0000;9041,00;0,00000;2239,00;0,00000;0,00000
9,54924;2401,00;8912,00;NaN;1000,00;186012;27,0000;8912,00;0,00000;2401,00;0,00000;0,00000
9,61882;2038,00;8321,00;NaN;1000,00;185811;21,0000;8321,00;0,00000;2038,00;0,00000;0,00000
9,69024;1447,00;7996,00;NaN;1000,00;186704;32,0000;7996,00;0,00000;1447,00;0,00000;0,00000
9,75921;1283,00;7943,00;NaN;1000,00;185921;52,0000;7943,00;0,00000;1283,00;0,00000;0,00000
9,83062;1682,00;8462,00;NaN;1000,00;186214;22,0000;8462,00;0,00000;1682,00;0,00000;0,00000
9,89837;2201,00;9008,00;NaN;1000,00;186494;24,0000;9008,00;0,00000;2201,00;0,00000;0,00000
9,96857;2432,00;9042,00;NaN;1000,00;186498;29,0000;9042,00;0,00000;2432,00;0,00000;0,00000
10,0388;1921,00;8391,00;NaN;1000,00;186933;37,0000;8391,00;0,00000;1921,00;0,00000;0,00000
10,1096;1416,00;7983,00;NaN;1000,00;186799;35,0000;7983,00;0,00000;1416,00;0,00000;0,00000
10,1767;1243,00;8024,00;NaN;1000,00;186061;20,0000;8024,00;0,00000;1243,00;0,00000;0,00000
10,2506;1657,00;8698,00;NaN;1000,00;185897;37,0000;8698,00;0,00000;1657,00;0,00000;0,00000
10,3159;2215,00;9045,00;NaN;1000,00;186051;25,0000;9045,00;0,00000;2215,00;0,00000;0,00000
10,3848;2412,00;8919,00;NaN;1000,00;186386;31,0000;8919,00;0,00000;2412,00;0,00000;0,00000
10,4556;1895,00;8126,00;NaN;1000,00;186265;20,0000;8126,00;0,00000;1895,00;0,00000;0,00000
10,5277;1411,00;7809,00;NaN;1000,00;185916;41,0000;7809,00;0,00000;1411,00;0,00000;0,00000
10,5966;1259,00;8103,00;NaN;1000,00;186418;26,0000;8103,00;0,00000;1259,00;0,00000;0,00000
10,6662;1809,00;8760,00;NaN;1000,00;187248;26,0000;8760,00;0,00000;1809,00;0,00000;0,00000
10,7346;2253,00;9175,00;NaN;1000,00;187269;42,0000;9175,00;0,00000;2253,00;0,00000;0,00000
10,8036;2412,00;8903,00;NaN;1000,00;186957;42,0000;8903,00;0,00000;2412,00;0,00000;0,00000
10,8750;1866,00;8096,00;NaN;1000,00;186781;36,0000;8096,00;0,00000;1866,00;0,00000;0,00000
10,9445;1259,00;7619,00;NaN;1000,00;186128;40,0000;7619,00;0,00000;1259,00;0,00000;0,00000
11,0141;1340,00;8136,00;NaN;1000,00;186351;14,0000;8136,00;0,00000;1340,00;0,00000;0,00000
