Stage position (µm);Coincidence rate (Hz) - T&B;Count rate (Hz) - B;g2(0) - T&A&B;Capture duration (ms);Counts - T;Counts - A;Counts - B;Counts - T&A;Counts - T&B;Counts - T&A&B;Counts - A&B
8,99258;1330,00;7068,00;NaN;1000,00;185879;36,0000;7068,00;0,00000;1330,00;0,00000;0,00000
9,05972;400,000;3269,00;NaN;1000,00;186400;42,0000;3269,00;0,00000;400,000;0,00000;0,00000
9,13236;967,000;4783,00;NaN;1000,00;186976;28,0000;4783,00;0,00000;967,000;0,00000;0,00000
9,20011;2386,00;10108,0;NaN;1000,00;186225;34,0000;10108,0;0,00000;2386,00;0,00000;0,00000
9,26969;3311,00;13687,0;NaN;1000,00;185746;26,0000;13687,0;0,00000;3311,00;0,00000;0,00000
9,34172;2663,00;12142,0;NaN;1000,00;186030;25,0000;12142,0;0,00000;2663,00;0,00000;0,00000
9,41008;1197,00;6779,00;NaN;1000,00;186613;34,0000;6779,00;0,00000;1197,00;0,00000;0,00000
9,47905;380,000;3231,00;NaN;1000,00;186512;29,0000;3231,00;0,00000;380,000;0,00000;0,00000
9,54924;1061,00;5254,00;NaN;1000,00;186738;23,0000;5254,00;0,00000;1061,00;0,00000;0,00000
9,62004;2492,00;10504,0;NaN;1000,00;186459;32,0000;10504,0;0,00000;2492,00;0,00000;0,00000
9,68902;3268,00;13694,0;NaN;1000,00;186406;30,0000;13694,0;0,00000;3268,00;0,00000;0,00000
9,76043;2662,00;11840,0;NaN;1000,00;186296;23,0000;11840,0;0,00000;2662,00;0,00000;0,00000
9,83001;1169,00;6862,00;NaN;1000,00;186825;22,0000;6862,00;0,00000;1169,00;0,00000;0,00000
9,89959;380,000;3298,00;NaN;1000,00;187487;28,0000;3298,00;0,00000;380,000;0,00000;0,00000
9,96796;1256,00;5603,00;NaN;1000,00;186997;32,0000;5603,00;0,00000;1256,00;0,00000;0,00000
10,0394;2612,00;10938,0;NaN;1000,00;186186;29,0000;10938,0;0,00000;2612,00;0,00000;0,00000
10,1083;3292,00;13650,0;NaN;1000,00;186508;34,0000;13650,0;0,00000;3292,00;0,00000;0,00000
10,1791;2386,00;11034,0;NaN;1000,00;186427;19,0000;11034,0;0,00000;2386,00;0,00000;0,00000
10,2475;878,000;5538,00;NaN;1000,00;186540;25,0000;5538,00;0,00000;878,000;0,00000;0,00000
10,3183;456,000;3307,00;NaN;1000,00;187015;27,0000;3307,00;0,00000;456,000;0,00000;0,00000
10,3848;1529,00;6691,00;NaN;1000,00;185910;32,0000;6691,00;0,00000;1529,00;0,00000;0,00000
10,4569;2959,00;11892,0;NaN;1000,00;186214;41,0000;11892,0;0,00000;2959,00;0,00000;0,00000
10,5252;3106,00;13277,0;NaN;1000,00;186097;41,0000;13277,0;0,00000;3106,00;0,00000;0,00000
10,5948;2149,00;10441,0;NaN;1000,00;185841;22,0000;10441,0;0,00000;2149,00;0,00000;0,00000
10,6662;870,000;5420,00;NaN;1000,00;187285;24,0000;5420,00;0,00000;870,000;0,00000;0,00000
10,7358;471,000;3304,00;NaN;1000,00;185843;27,0000;3304,00;0,00000;471,000;0,00000;0,00000
10,8060;1596,00;6882,00;NaN;1000,00;186780;44,0000;6882,00;0,00000;1596,00;0,00000;0,00000
10,8762;2989,00;12151,0;NaN;1000,00;186171;39,0000;12151,0;0,00000;2989,00;0,00000;0,00000
10,9464;3037,00;13141,0;NaN;1000,00;186416;22,0000;13141,0;0,00000;3037,00;0,00000;0,00000
11,0147;1823,00;9342,00;NaN;1000,00;186721;18,0000;9342,00;0,00000;1823,00;0,00000;0,00000
