Stage position (µm);Coincidence rate (Hz) - T&B;Count rate (Hz) - B;g2(0) - T&A&B;Capture duration (ms);Counts - T;Counts - A;Counts - B;Counts - T&A;Counts - T&B;Counts - T&A&B;Counts - A&B
8,99564;976,000;5295,00;NaN;1000,00;186704;29,0000;5295,00;0,00000;976,000;0,00000;0,00000
9,02615;963,000;5253,00;NaN;1000,00;186948;22,0000;5253,00;0,00000;963,000;0,00000;0,00000
9,05972;933,000;5250,00;NaN;1000,00;186946;30,0000;5250,00;0,00000;933,000;0,00000;0,00000
9,09757;990,000;5332,00;NaN;1000,00;186826;20,0000;5332,00;0,00000;990,000;0,00000;0,00000
9,12931;959,000;5231,00;NaN;1000,00;186794;29,0000;5231,00;0,00000;959,000;0,00000;0,00000
9,16593;893,000;5323,00;NaN;1000,00;187232;30,0000;5323,00;0,00000;893,000;0,00000;0,00000
9,20072;955,000;5252,00;NaN;1000,00;186846;27,0000;5252,00;0,00000;955,000;0,00000;0,00000
9,23551;1009,00;5412,00;NaN;1000,00;186490;28,0000;5412,00;0,00000;1009,00;0,00000;0,00000
9,27152;914,000;5274,00;NaN;1000,00;186239;21,0000;5274,00;0,00000;914,000;0,00000;0,00000
9,30387;983,000;5285,00;NaN;1000,00;186272;19,0000;5285,00;0,00000;983,000;0,00000;0,00000
9,34172;923,000;5174,00;NaN;1000,00;187348;39,0000;5174,00;0,00000;923,000;0,00000;0,00000
9,37468;1034,00;5397,00;NaN;1000,00;187104;33,0000;5397,00;0,00000;1034,00;0,00000;0,00000
9,41069;992,000;5135,00;NaN;1000,00;186442;42,0000;5135,00;0,00000;992,000;0,00000;0,00000
9,44426;979,000;5316,00;NaN;1000,00;186649;19,0000;5316,00;0,00000;979,000;0,00000;0,00000
9,47966;962,000;5141,00;NaN;1000,00;186285;39,0000;5141,00;0,00000;962,000;0,00000;0,00000
9,51445;997,000;5239,00;NaN;1000,00;185685;36,0000;5239,00;0,00000;997,000;0,00000;0,00000
9,54863;929,000;5222,00;NaN;1000,00;186790;26,0000;5222,00;0,00000;929,000;0,00000;0,00000
9,58586;962,000;5258,00;NaN;1000,00;187405;23,0000;5258,00;0,00000;962,000;0,00000;0,00000
9,62004;1015,00;5251,00;NaN;1000,00;186132;35,0000;5251,00;0,00000;1015,00;0,00000;0,00000
9,65423;936,000;5312,00;NaN;1000,00;185897;22,0000;5312,00;0,00000;936,000;0,00000;0,00000
9,68902;934,000;5288,00;NaN;1000,00;186312;24,0000;5288,00;0,00000;934,000;0,00000;0,00000
9,72442;943,000;5299,00;NaN;1000,00;185804;27,0000;5299,00;0,00000;943,000;0,00000;0,00000
9,75921;953,000;5335,00;0,00000;1000,00;186600;37,0000;5335,00;1,00000;953,000;0,00000;0,00000
9,79217;993,000;5409,00;NaN;1000,00;186796;36,0000;5409,00;0,00000;993,000;0,00000;0,00000
9,82940;995,000;5327,00;NaN;1000,00;186886;28,0000;5327,00;0,00000;995,000;0,00000;0,00000
9,86175;951,000;5255,00;NaN;1000,00;186550;31,0000;5255,00;0,00000;951,000;0,00000;0,00000
9,89898;982,000;5346,00;NaN;1000,00;186492;20,0000;5346,00;0,00000;982,000;0,00000;0,00000
9,93316;991,000;5275,00;0,00000;1000,00;186527;28,0000;5275,00;1,00000;991,000;0,00000;0,00000
9,96796;944,000;5333,00;NaN;1000,00;185885;33,0000;5333,00;0,00000;944,000;0,00000;0,00000
10,0027;970,000;5191,00;NaN;1000,00;186358;33,0000;5191,00;0,00000;970,000;0,00000;0,00000
