Stage position (µm);Coincidence rate (Hz) - T&B;Count rate (Hz) - B;g2(0) - T&A&B;Capture duration (ms);Counts - T;Counts - A;Counts - B;Counts - T&A;Counts - T&B;Counts - T&A&B;Counts - A&B
8,99380;413,000;3612,00;NaN;1000,00;186651;24,0000;3612,00;0,00000;413,000;0,00000;0,00000
9,02615;378,000;3483,00;NaN;1000,00;186462;24,0000;3483,00;0,00000;378,000;0,00000;0,00000
9,05972;366,000;3416,00;NaN;1000,00;186329;44,0000;3416,00;0,00000;366,000;0,00000;0,00000
9,09818;354,000;3303,00;NaN;1000,00;186289;35,0000;3303,00;0,00000;354,000;0,00000;0,00000
9,13053;373,000;3425,00;NaN;1000,00;186537;33,0000;3425,00;0,00000;373,000;0,00000;0,00000
9,16471;346,000;3410,00;NaN;1000,00;186365;39,0000;3410,00;0,00000;346,000;0,00000;0,00000
9,19950;421,000;3705,00;NaN;1000,00;186277;28,0000;3705,00;0,00000;421,000;0,00000;0,00000
9,23551;462,000;3699,00;NaN;1000,00;185579;21,0000;3699,00;0,00000;462,000;0,00000;0,00000
9,27152;481,000;3724,00;NaN;1000,00;186729;36,0000;3724,00;0,00000;481,000;0,00000;0,00000
9,30448;479,000;3844,00;NaN;1000,00;186692;26,0000;3844,00;0,00000;479,000;0,00000;0,00000
9,34111;468,000;3628,00;NaN;1000,00;186368;28,0000;3628,00;0,00000;468,000;0,00000;0,00000
9,37590;476,000;3649,00;NaN;1000,00;186466;43,0000;3649,00;0,00000;476,000;0,00000;0,00000
9,40947;435,000;3552,00;NaN;1000,00;186391;28,0000;3552,00;0,00000;435,000;0,00000;0,00000
9,44182;408,000;3417,00;NaN;1000,00;186441;18,0000;3417,00;0,00000;408,000;0,00000;0,00000
9,47905;365,000;3458,00;NaN;1000,00;186056;35,0000;3458,00;0,00000;365,000;0,00000;0,00000
9,51384;375,000;3443,00;NaN;1000,00;186661;27,0000;3443,00;0,00000;375,000;0,00000;0,00000
9,54802;357,000;3481,00;NaN;1000,00;185520;34,0000;3481,00;0,00000;357,000;0,00000;0,00000
9,58464;342,000;3452,00;NaN;1000,00;186722;25,0000;3452,00;0,00000;342,000;0,00000;0,00000
9,61760;404,000;3613,00;NaN;1000,00;186991;21,0000;3613,00;0,00000;404,000;0,00000;0,00000
9,65484;438,000;3728,00;NaN;1000,00;186717;28,0000;3728,00;0,00000;438,000;0,00000;0,00000
9,69146;482,000;3732,00;NaN;1000,00;186591;30,0000;3732,00;0,00000;482,000;0,00000;0,00000
9,72381;467,000;3734,00;NaN;1000,00;187375;28,0000;3734,00;0,00000;467,000;0,00000;0,00000
9,75921;430,000;3812,00;NaN;1000,00;186491;37,0000;3812,00;0,00000;430,000;0,00000;0,00000
9,79461;439,000;3620,00;NaN;1000,00;185783;34,0000;3620,00;0,00000;439,000;0,00000;0,00000
9,82940;444,000;3647,00;NaN;1000,00;186469;37,0000;3647,00;0,00000;444,000;0,00000;0,00000
9,86358;371,000;3508,00;NaN;1000,00;186319;36,0000;3508,00;0,00000;371,000;0,00000;0,00000
9,89776;344,000;3167,00;NaN;1000,00;186447;35,0000;3167,00;0,00000;344,000;0,00000;0,00000
9,93194;378,000;3111,00;NaN;1000,00;186306;28,0000;3111,00;0,00000;378,000;0,00000;0,00000
9,96918;356,000;3163,00;NaN;1000,00;186337;41,0000;3163,00;0,00000;356,000;0,00000;0,00000
10,0027;390,000;3567,00;NaN;1000,00;186482;34,0000;3567,00;0,00000;390,000;0,00000;0,00000
10,0394;408,000;3617,00;NaN;1000,00;186830;37,0000;3617,00;0,00000;408,000;0,00000;0,00000
10,0711;449,000;3783,00;NaN;1000,00;186345;34,0000;3783,00;0,00000;449,000;0,00000;0,00000
10,1077;445,000;3739,00;NaN;1000,00;186561;28,0000;3739,00;0,00000;445,000;0,00000;0,00000
10,1425;435,000;3743,00;NaN;1000,00;187027;40,0000;3743,00;0,00000;435,000;0,00000;0,00000
10,1761;439,000;3708,00;NaN;1000,00;186171;38,0000;3708,00;0,00000;439,000;0,00000;0,00000
10,2115;453,000;3722,00;NaN;1000,00;186584;29,0000;3722,00;0,00000;453,000;0,00000;0,00000
10,2469;433,000;3623,00;NaN;1000,00;186116;35,0000;3623,00;0,00000;433,000;0,00000;0,00000
10,2817;429,000;3570,00;NaN;1000,00;186586;28,0000;3570,00;0,00000;429,000;0,00000;0,00000
10,3159;352,000;3428,00;NaN;1000,00;186930;34,0000;3428,00;0,00000;352,000;0,00000;0,00000
10,3519;347,000;3434,00;NaN;1000,00;186986;33,0000;3434,00;0,00000;347,000;0,00000;0,00000
10,3848;384,000;3450,00;NaN;1000,00;186577;39,0000;3450,00;0,00000;384,000;0,00000;0,00000
10,4209;362,000;3568,00;NaN;1000,00;186744;27,0000;3568,00;0,00000;362,000;0,00000;0,00000
10,4550;432,000;3643,00;NaN;1000,00;186296;31,0000;3643,00;0,00000;432,000;0,00000;0,00000
10,4917;481,000;3885,00;NaN;1000,00;187380;25,0000;3885,00;0,00000;481,000;0,00000;0,00000
10,5252;469,000;3793,00;NaN;1000,00;186904;27,0000;3793,00;0,00000;469,000;0,00000;0,00000
10,5618;453,000;3753,00;NaN;1000,00;186178;32,0000;3753,00;0,00000;453,000;0,00000;0,00000
10,5948;438,000;3779,00;NaN;1000,00;186857;24,0000;3779,00;0,00000;438,000;0,00000;0,00000
10,6308;411,000;3564,00;NaN;1000,00;187492;39,0000;3564,00;0,00000;411,000;0,00000;0,00000
10,6662;398,000;3606,00;NaN;1000,00;187066;36,0000;3606,00;0,00000;398,000;0,00000;0,00000
10,7016;365,000;3476,00;NaN;1000,00;186947;34,0000;3476,00;0,00000;365,000;0,00000;0,00000
10,7346;358,000;3372,00;NaN;1000,00;186778;18,0000;3372,00;0,00000;358,000;0,00000;0,00000
10,7694;387,000;3550,00;NaN;1000,00;186842;36,0000;3550,00;0,00000;387,000;0,00000;0,00000
10,8048;402,000;3626,00;NaN;1000,00;187101;26,0000;3626,00;0,00000;402,000;0,00000;0,00000
10,8408;390,000;3646,00;NaN;1000,00;187078;30,0000;3646,00;0,00000;390,000;0,00000;0,00000
10,8756;439,000;3697,00;NaN;1000,00;186045;26,0000;3697,00;0,00000;439,000;0,00000;0,00000
10,9079;466,000;3802,00;NaN;1000,00;186685;45,0000;3802,00;0,00000;466,000;0,00000;0,00000
10,9452;454,000;3826,00;NaN;1000,00;186915;26,0000;3826,00;0,00000;454,000;0,00000;0,00000
10,9781;449,000;3813,00;NaN;1000,00;186733;33,0000;3813,00;0,00000;449,000;0,00000;0,00000
