Stage position,Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
8.99503,3275,13740,NaN,1000,186593,38,13740,0,3275,0,0
9.05972,2388,9925,NaN,1000,186804,37,9925,0,2388,0,0
9.13053,775,4286,NaN,1000,187727,22,4286,0,775,0,0
9.20133,366,3007,NaN,1000,187339,28,3007,0,366,0,0
9.27152,1459,7441,NaN,1000,185744,15,7441,0,1459,0,0
9.33805,2816,12475,NaN,1000,187584,21,12475,0,2816,0,0
9.40764,3261,13893,NaN,1000,187522,43,13893,0,3261,0,0
9.47966,2155,9549,NaN,1000,185859,25,9549,0,2155,0,0
9.55046,753,4267,NaN,1000,187728,19,4267,0,753,0,0
9.61943,365,2978,NaN,1000,186760,31,2978,0,365,0,0
9.68841,1425,7201,NaN,1000,186784,32,7201,0,1425,0,0
9.75921,2860,12627,NaN,1000,186457,44,12627,0,2860,0,0
9.83001,3240,13869,NaN,1000,186173,37,13869,0,3240,0,0
9.89837,2331,9825,NaN,1000,187559,36,9825,0,2331,0,0
9.96796,721,4244,NaN,1000,187043,32,4244,0,721,0,0
10.0375,388,3194,0,1000,186384,36,3194,1,388,0,0
10.1096,1718,7911,NaN,1000,186654,28,7911,0,1718,0,0
10.1773,3038,13047,NaN,1000,186211,36,13047,0,3038,0,0
10.2469,3232,13733,NaN,1000,186847,27,13733,0,3232,0,0
10.3183,2148,9379,NaN,1000,186861,28,9379,0,2148,0,0
10.3861,659,3983,NaN,1000,186618,42,3983,0,659,0,0
10.4556,411,3212,NaN,1000,187290,32,3212,0,411,0,0
10.5258,1668,7946,NaN,1000,186883,35,7946,0,1668,0,0
10.596,3110,13245,NaN,1000,187267,30,13245,0,3110,0,0
10.6656,3275,13398,NaN,1000,186564,21,13398,0,3275,0,0
10.7364,1978,8970,NaN,1000,187792,22,8970,0,1978,0,0
10.8029,552,3560,NaN,1000,187355,32,3560,0,552,0,0
10.8762,492,3515,NaN,1000,186590,37,3515,0,492,0,0
10.9452,1846,8523,NaN,1000,187515,38,8523,0,1846,0,0
11.0141,3183,13524,NaN,1000,187163,23,13524,0,3183,0,0
