Stage position,Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
8.99319,2164,8185,NaN,1000,186278,22,8185,0,2164,0,0
9.06156,1177,5992,NaN,1000,186732,30,5992,0,1177,0,0
9.12931,792,5995,NaN,1000,186199,27,5995,0,792,0,0
9.20072,1311,8443,NaN,1000,186168,20,8443,0,1311,0,0
9.27213,2301,10803,NaN,1000,186010,39,10803,0,2301,0,0
9.3405,2810,10989,NaN,1000,186843,18,10989,0,2810,0,0
9.40947,2256,8551,NaN,1000,186482,29,8551,0,2256,0,0
9.47844,1215,6003,NaN,1000,186167,32,6003,0,1215,0,0
9.54924,767,5994,NaN,1000,186302,21,5994,0,767,0,0
9.61943,1242,8000,NaN,1000,186879,21,8000,0,1242,0,0
9.68902,2396,11017,NaN,1000,186292,30,11017,0,2396,0,0
9.76043,2980,11302,NaN,1000,186236,37,11302,0,2980,0,0
9.83001,2393,9025,NaN,1000,186012,34,9025,0,2393,0,0
9.89837,1427,6387,NaN,1000,187298,28,6387,0,1427,0,0
9.96796,754,5577,NaN,1000,186385,27,5577,0,754,0,0
10.0388,1166,7728,NaN,1000,186151,26,7728,0,1166,0,0
10.109,2334,10849,NaN,1000,185936,41,10849,0,2334,0,0
10.1773,2946,11743,NaN,1000,186766,34,11743,0,2946,0,0
10.2487,2435,8928,NaN,1000,185569,24,8928,0,2435,0,0
10.3159,1363,6085,NaN,1000,186208,16,6085,0,1363,0,0
10.3879,721,5575,NaN,1000,187844,33,5575,0,721,0,0
10.4569,1259,8065,0,1000,186171,30,8065,1,1259,0,0
10.5258,2446,11139,NaN,1000,186253,29,11139,0,2446,0,0
10.596,2859,11470,NaN,1000,186676,31,11470,0,2859,0,0
10.6662,2347,8977,NaN,1000,186367,35,8977,0,2347,0,0
10.7382,1230,5984,NaN,1000,186517,22,5984,0,1230,0,0
10.8042,685,5599,NaN,1000,186051,42,5599,0,685,0,0
10.8768,1337,8222,NaN,1000,186880,27,8222,0,1337,0,0
10.9458,2344,11062,NaN,1000,185711,24,11062,0,2344,0,0
11.016,2993,11635,NaN,1000,186818,38,11635,0,2993,0,0
