Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
8.99380,2286.00,8534.00,NaN,1000.00,187404,31.0000,8534.00,0.00000,2286.00,0.00000,0.00000
9.06034,1517.00,7060.00,NaN,1000.00,186311,32.0000,7060.00,0.00000,1517.00,0.00000,0.00000
9.13114,1014.00,7159.00,NaN,1000.00,186552,23.0000,7159.00,0.00000,1014.00,0.00000,0.00000
9.20072,1434.00,8434.00,NaN,1000.00,186085,39.0000,8434.00,0.00000,1434.00,0.00000,0.00000
9.26969,2137.00,9924.00,NaN,1000.00,187244,51.0000,9924.00,0.00000,2137.00,0.00000,0.00000
9.34233,2631.00,10206.0,NaN,1000.00,186222,25.0000,10206.0,0.00000,2631.00,0.00000,0.00000
9.41008,2348.00,8671.00,NaN,1000.00,186930,43.0000,8671.00,0.00000,2348.00,0.00000,0.00000
9.48149,1559.00,7169.00,NaN,1000.00,186280,26.0000,7169.00,0.00000,1559.00,0.00000,0.00000
9.55046,1019.00,6895.00,NaN,1000.00,187183,26.0000,6895.00,0.00000,1019.00,0.00000,0.00000
9.62004,1208.00,8102.00,NaN,1000.00,186433,36.0000,8102.00,0.00000,1208.00,0.00000,0.00000
9.69024,1984.00,9606.00,NaN,1000.00,187274,30.0000,9606.00,0.00000,1984.00,0.00000,0.00000
9.76104,2610.00,10204.0,NaN,1000.00,186342,15.0000,10204.0,0.00000,2610.00,0.00000,0.00000
9.82879,2446.00,9177.00,NaN,1000.00,185995,22.0000,9177.00,0.00000,2446.00,0.00000,0.00000
9.90143,1629.00,7218.00,NaN,1000.00,186404,20.0000,7218.00,0.00000,1629.00,0.00000,0.00000
9.96673,984.000,6637.00,NaN,1000.00,186818,60.0000,6637.00,0.00000,984.000,0.00000,0.00000
10.0388,1148.00,7829.00,NaN,1000.00,186278,32.0000,7829.00,0.00000,1148.00,0.00000,0.00000
10.1090,1897.00,9723.00,NaN,1000.00,186599,28.0000,9723.00,0.00000,1897.00,0.00000,0.00000
10.1785,2612.00,10269.0,NaN,1000.00,185817,19.0000,10269.0,0.00000,2612.00,0.00000,0.00000
10.2475,2472.00,9167.00,NaN,1000.00,186290,38.0000,9167.00,0.00000,2472.00,0.00000,0.00000
10.3177,1664.00,7175.00,NaN,1000.00,186798,27.0000,7175.00,0.00000,1664.00,0.00000,0.00000
10.3873,1005.00,6602.00,NaN,1000.00,186050,31.0000,6602.00,0.00000,1005.00,0.00000,0.00000
10.4563,1245.00,8020.00,NaN,1000.00,186734,41.0000,8020.00,0.00000,1245.00,0.00000,0.00000
10.5252,1989.00,9963.00,NaN,1000.00,186366,28.0000,9963.00,0.00000,1989.00,0.00000,0.00000
10.5972,2754.00,10435.0,NaN,1000.00,187796,27.0000,10435.0,0.00000,2754.00,0.00000,0.00000
10.6650,2426.00,9070.00,NaN,1000.00,186618,31.0000,9070.00,0.00000,2426.00,0.00000,0.00000
10.7352,1657.00,7195.00,NaN,1000.00,186608,40.0000,7195.00,0.00000,1657.00,0.00000,0.00000
10.8029,1029.00,6428.00,NaN,1000.00,186809,44.0000,6428.00,0.00000,1029.00,0.00000,0.00000
10.8750,1195.00,7788.00,NaN,1000.00,186727,28.0000,7788.00,0.00000,1195.00,0.00000,0.00000
10.9433,2008.00,9980.00,NaN,1000.00,187338,25.0000,9980.00,0.00000,2008.00,0.00000,0.00000
11.0135,2659.00,10528.0,NaN,1000.00,187103,28.0000,10528.0,0.00000,2659.00,0.00000,0.00000
