Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
8.99442,1821,7697,NaN,1000,187262,24,7697,0,1821,0,0
9.05911,1806,8410,NaN,1000,186248,33,8410,0,1806,0,0
9.13114,1704,9047,NaN,1000,186613,30,9047,0,1704,0,0
9.1995,1733,9237,NaN,1000,186839,16,9237,0,1733,0,0
9.2703,1871,8722,NaN,1000,186790,22,8722,0,1871,0,0
9.33805,1919,7897,NaN,1000,186313,37,7897,0,1919,0,0
9.41008,1822,7819,NaN,1000,187279,38,7819,0,1822,0,0
9.48027,1723,8296,NaN,1000,186840,27,8296,0,1723,0,0
9.55107,1844,9156,NaN,1000,187427,38,9156,0,1844,0,0
9.61943,1928,9551,NaN,1000,187918,25,9551,0,1928,0,0
9.68902,1873,8545,NaN,1000,186907,36,8545,0,1873,0,0
9.75799,1905,7867,NaN,1000,186406,33,7867,0,1905,0,0
9.8294,1843,7634,0,1000,186741,27,7634,1,1843,0,0
9.89837,1737,8312,NaN,1000,186521,39,8312,0,1737,0,0
9.96735,1746,9021,NaN,1000,185887,35,9021,0,1746,0,0
10.0375,1885,9417,NaN,1000,186909,25,9417,0,1885,0,0
10.1102,1897,8631,NaN,1000,186462,41,8631,0,1897,0,0
10.1785,1916,7896,NaN,1000,186506,23,7896,0,1916,0,0
10.2475,1806,7734,0,1000,187631,38,7734,1,1806,0,0
10.3177,1677,8501,NaN,1000,186334,27,8501,0,1677,0,0
10.3861,1831,9477,NaN,1000,187437,30,9477,0,1831,0,0
10.4563,1840,9274,NaN,1000,186265,21,9274,0,1840,0,0
10.5283,1824,8407,NaN,1000,186548,27,8407,0,1824,0,0
10.596,1819,7617,NaN,1000,186586,26,7617,0,1819,0,0
10.6693,1740,7705,NaN,1000,186590,39,7705,0,1740,0,0
10.7364,1776,8589,NaN,1000,186940,32,8589,0,1776,0,0
10.806,1810,9309,NaN,1000,187186,28,9309,0,1810,0,0
10.8731,1811,9163,NaN,1000,185663,35,9163,0,1811,0,0
10.9452,1832,8274,NaN,1000,187153,24,8274,0,1832,0,0
11.0141,1865,7787,NaN,1000,187307,23,7787,0,1865,0,0
