stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_b,counts_t_a_b,counts_a_b
8.99442,1821.00,7697.00,NaN,1000.00,187262,24.0000,7697.00,0.00000,1821.00,0.00000,0.00000
9.05911,1806.00,8410.00,NaN,1000.00,186248,33.0000,8410.00,0.00000,1806.00,0.00000,0.00000
9.13114,1704.00,9047.00,NaN,1000.00,186613,30.0000,9047.00,0.00000,1704.00,0.00000,0.00000
9.19950,1733.00,9237.00,NaN,1000.00,186839,16.0000,9237.00,0.00000,1733.00,0.00000,0.00000
9.27030,1871.00,8722.00,NaN,1000.00,186790,22.0000,8722.00,0.00000,1871.00,0.00000,0.00000
9.33805,1919.00,7897.00,NaN,1000.00,186313,37.0000,7897.00,0.00000,1919.00,0.00000,0.00000
9.41008,1822.00,7819.00,NaN,1000.00,187279,38.0000,7819.00,0.00000,1822.00,0.00000,0.00000
9.48027,1723.00,8296.00,NaN,1000.00,186840,27.0000,8296.00,0.00000,1723.00,0.00000,0.00000
9.55107,1844.00,9156.00,NaN,1000.00,187427,38.0000,9156.00,0.00000,1844.00,0.00000,0.00000
9.61943,1928.00,9551.00,NaN,1000.00,187918,25.0000,9551.00,0.00000,1928.00,0.00000,0.00000
9.68902,1873.00,8545.00,NaN,1000.00,186907,36.0000,8545.00,0.00000,1873.00,0.00000,0.00000
9.75799,1905.00,7867.00,NaN,1000.00,186406,33.0000,7867.00,0.00000,1905.00,0.00000,0.00000
9.82940,1843.00,7634.00,0.00000,1000.00,186741,27.0000,7634.00,1.00000,1843.00,0.00000,0.00000
9.89837,1737.00,8312.00,NaN,1000.00,186521,39.0000,8312.00,0.00000,1737.00,0.00000,0.00000
9.96735,1746.00,9021.00,NaN,1000.00,185887,35.0000,9021.00,0.00000,1746.00,0.00000,0.00000
10.0375,1885.00,9417.00,NaN,1000.00,186909,25.0000,9417.00,0.00000,1885.00,0.00000,0.00000
10.1102,1897.00,8631.00,NaN,1000.00,186462,41.0000,8631.00,0.00000,1897.00,0.00000,0.00000
10.1785,1916.00,7896.00,NaN,1000.00,186506,23.0000,7896.00,0.00000,1916.00,0.00000,0.00000
10.2475,1806.00,7734.00,0.00000,1000.00,187631,38.0000,7734.00,1.00000,1806.00,0.00000,0.00000
10.3177,1677.00,8501.00,NaN,1000.00,186334,27.0000,8501.00,0.00000,1677.00,0.00000,0.00000
10.3861,1831.00,9477.00,NaN,1000.00,187437,30.0000,9477.00,0.00000,1831.00,0.00000,0.00000
10.4563,1840.00,9274.00,NaN,1000.00,186265,21.0000,9274.00,0.00000,1840.00,0.00000,0.00000
10.5283,1824.00,8407.00,NaN,1000.00,186548,27.0000,8407.00,0.00000,1824.00,0.00000,0.00000
10.5960,1819.00,7617.00,NaN,1000.00,186586,26.0000,7617.00,0.00000,1819.00,0.00000,0.00000
10.6693,1740.00,7705.00,NaN,1000.00,186590,39.0000,7705.00,0.00000,1740.00,0.00000,0.00000
10.7364,1776.00,8589.00,NaN,1000.00,186940,32.0000,8589.00,0.00000,1776.00,0.00000,0.00000
10.8060,1810.00,9309.00,NaN,1000.00,187186,28.0000,9309.00,0.00000,1810.00,0.00000,0.00000
10.8731,1811.00,9163.00,NaN,1000.00,185663,35.0000,9163.00,0.00000,1811.00,0.00000,0.00000
10.9452,1832.00,8274.00,NaN,1000.00,187153,24.0000,8274.00,0.00000,1832.00,0.00000,0.00000
11.0141,1865.00,7787.00,NaN,1000.00,187307,23.0000,7787.00,0.00000,1865.00,0.00000,0.00000
