stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_b,counts_t_a_b,counts_a_b
8.99564,976,5295,NaN,1000,186704,29,5295,0,976,0,0
9.02615,963,5253,NaN,1000,186948,22,5253,0,963,0,0
9.05972,933,5250,NaN,1000,186946,30,5250,0,933,0,0
9.09757,990,5332,NaN,1000,186826,20,5332,0,990,0,0
9.12931,959,5231,NaN,1000,186794,29,5231,0,959,0,0
9.16593,893,5323,NaN,1000,187232,30,5323,0,893,0,0
9.20072,955,5252,NaN,1000,186846,27,5252,0,955,0,0
9.23551,1009,5412,NaN,1000,186490,28,5412,0,1009,0,0
9.27152,914,5274,NaN,1000,186239,21,5274,0,914,0,0
9.30387,983,5285,NaN,1000,186272,19,5285,0,983,0,0
9.34172,923,5174,NaN,1000,187348,39,5174,0,923,0,0
9.37468,1034,5397,NaN,1000,187104,33,5397,0,1034,0,0
9.41069,992,5135,NaN,1000,186442,42,5135,0,992,0,0
9.44426,979,5316,NaN,1000,186649,19,5316,0,979,0,0
9.47966,962,5141,NaN,1000,186285,39,5141,0,962,0,0
9.51445,997,5239,NaN,1000,185685,36,5239,0,997,0,0
9.54863,929,5222,NaN,1000,186790,26,5222,0,929,0,0
9.58586,962,5258,NaN,1000,187405,23,5258,0,962,0,0
9.62004,1015,5251,NaN,1000,186132,35,5251,0,1015,0,0
9.65423,936,5312,NaN,1000,185897,22,5312,0,936,0,0
9.68902,934,5288,NaN,1000,186312,24,5288,0,934,0,0
9.72442,943,5299,NaN,1000,185804,27,5299,0,943,0,0
9.75921,953,5335,0,1000,186600,37,5335,1,953,0,0
9.79217,993,5409,NaN,1000,186796,36,5409,0,993,0,0
9.8294,995,5327,NaN,1000,186886,28,5327,0,995,0,0
9.86175,951,5255,NaN,1000,186550,31,5255,0,951,0,0
9.89898,982,5346,NaN,1000,186492,20,5346,0,982,0,0
9.93316,991,5275,0,1000,186527,28,5275,1,991,0,0
9.96796,944,5333,NaN,1000,185885,33,5333,0,944,0,0
10.0027,970,5191,NaN,1000,186358,33,5191,0,970,0,0
10.0369,973,5331,NaN,1000,186192,34,5331,0,973,0,0
10.0748,922,5140,NaN,1000,187186,38,5140,0,922,0,0
10.109,951,5261,NaN,1000,186203,31,5261,0,951,0,0
10.1444,900,5092,NaN,1000,185807,38,5092,0,900,0,0
10.1767,931,5168,NaN,1000,186547,23,5168,0,931,0,0
10.2121,989,5421,0,1000,186758,27,5421,1,989,0,0
10.2475,986,5282,NaN,1000,186235,29,5282,0,986,0,0
10.2811,907,5194,NaN,1000,186122,34,5194,0,907,0,0
10.3159,908,5297,NaN,1000,187102,30,5297,0,908,0,0
10.3519,981,5321,NaN,1000,186118,35,5321,0,981,0,0
10.3885,983,5349,NaN,1000,186833,32,5349,0,983,0,0
10.4215,989,5310,NaN,1000,186913,23,5310,0,989,0,0
10.4569,917,5187,NaN,1000,186738,24,5187,0,917,0,0
10.491,980,5221,NaN,1000,186202,34,5221,0,980,0,0
10.5264,956,5282,NaN,1000,186900,26,5282,0,956,0,0
10.5618,974,5380,NaN,1000,186166,16,5380,0,974,0,0
10.596,957,5356,NaN,1000,186755,31,5356,0,957,0,0
10.6308,937,5328,NaN,1000,186652,30,5328,0,937,0,0
10.6668,921,5255,NaN,1000,186235,21,5255,0,921,0,0
10.6992,963,5515,NaN,1000,186845,29,5515,0,963,0,0
10.7358,993,5377,NaN,1000,187059,33,5377,0,993,0,0
10.7682,927,5269,NaN,1000,187267,26,5269,0,927,0,0
10.8042,1010,5416,NaN,1000,186444,33,5416,0,1010,0,0
10.8396,947,5353,NaN,1000,186258,29,5353,0,947,0,0
10.8756,923,5243,NaN,1000,186080,30,5243,0,923,0,0
10.9091,934,5431,NaN,1000,186216,21,5431,0,934,0,0
10.9439,933,5282,NaN,1000,187433,37,5282,0,933,0,0
10.9787,912,5265,NaN,1000,186196,30,5265,0,912,0,0
