stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_a,counts_t_a_b,counts_a_b
8.9938,2852,11781,NaN,1000,186554,33,11781,0,2852,0,0
9.02554,2251,9618,NaN,1000,186977,25,9618,0,2251,0,0
9.05972,1414,6647,NaN,1000,186550,38,6647,0,1414,0,0
9.09757,670,3923,NaN,1000,185851,27,3923,0,670,0,0
9.13114,319,2693,NaN,1000,185839,37,2693,0,319,0,0
9.16532,386,3007,NaN,1000,186161,35,3007,0,386,0,0
9.20072,744,4482,NaN,1000,186978,28,4482,0,744,0,0
9.23612,1423,6796,NaN,1000,186961,23,6796,0,1423,0,0
9.27274,2160,9732,NaN,1000,186798,30,9732,0,2160,0,0
9.30631,2813,12499,NaN,1000,187055,38,12499,0,2813,0,0
9.3405,3347,13997,NaN,1000,186623,32,13997,0,3347,0,0
9.37529,3182,13844,NaN,1000,186184,33,13844,0,3182,0,0
9.40764,2821,12151,NaN,1000,186531,31,12151,0,2821,0,0
9.44426,2290,9574,NaN,1000,187325,38,9574,0,2290,0,0
9.47966,1465,6688,NaN,1000,186530,33,6688,0,1465,0,0
9.51689,756,4008,NaN,1000,187564,24,4008,0,756,0,0
9.54863,312,2667,NaN,1000,187341,36,2667,0,312,0,0
9.58464,360,2995,NaN,1000,187666,28,2995,0,360,0,0
9.61943,807,4658,0,1000,187407,30,4658,1,807,0,0
9.65545,1462,7216,NaN,1000,186912,20,7216,0,1462,0,0
9.68841,2228,9952,NaN,1000,187225,25,9952,0,2228,0,0
9.7232,2837,12305,NaN,1000,187078,25,12305,0,2837,0,0
9.75921,3165,13455,NaN,1000,187032,21,13455,0,3165,0,0
9.79461,3342,14114,NaN,1000,186656,33,14114,0,3342,0,0
9.82757,2878,12466,NaN,1000,186675,33,12466,0,2878,0,0
9.8648,2117,9263,NaN,1000,186852,23,9263,0,2117,0,0
9.89776,1310,6271,NaN,1000,186829,20,6271,0,1310,0,0
9.93439,674,3928,NaN,1000,186780,27,3928,0,674,0,0
9.96735,333,2886,NaN,1000,186751,33,2886,0,333,0,0
10.0027,367,2910,NaN,1000,186980,32,2910,0,367,0,0
10.0388,787,4578,NaN,1000,186588,29,4578,0,787,0,0
10.0742,1528,7358,NaN,1000,186940,19,7358,0,1528,0,0
10.1077,2536,11025,NaN,1000,187262,32,11025,0,2536,0,0
10.1419,3104,13252,NaN,1000,186893,27,13252,0,3104,0,0
10.1767,3355,14090,NaN,1000,186802,18,14090,0,3355,0,0
10.2133,3225,13491,NaN,1000,186993,26,13491,0,3225,0,0
10.2469,2785,11731,NaN,1000,186460,25,11731,0,2785,0,0
10.2811,1937,8661,NaN,1000,187119,22,8661,0,1937,0,0
10.3183,1221,5881,NaN,1000,187179,30,5881,0,1221,0,0
10.35,592,3521,NaN,1000,186579,38,3521,0,592,0,0
10.3885,307,2655,NaN,1000,187211,35,2655,0,307,0,0
10.4196,505,3300,NaN,1000,187091,23,3300,0,505,0,0
10.4563,1077,5496,NaN,1000,186322,32,5496,0,1077,0,0
10.4935,1884,8456,NaN,1000,187121,32,8456,0,1884,0,0
10.5264,2720,11508,NaN,1000,186708,35,11508,0,2720,0,0
10.56,3216,13570,NaN,1000,186330,27,13570,0,3216,0,0
10.596,3390,14005,NaN,1000,187655,33,14005,0,3390,0,0
10.6296,3175,13338,NaN,1000,187872,31,13338,0,3175,0,0
10.6662,2590,11119,NaN,1000,187204,19,11119,0,2590,0,0
10.6998,1831,8575,NaN,1000,186763,30,8575,0,1831,0,0
10.7346,1155,5833,NaN,1000,186989,41,5833,0,1155,0,0
10.7694,468,3353,NaN,1000,186713,29,3353,0,468,0,0
10.8042,328,2700,NaN,1000,187082,38,2700,0,328,0,0
10.8383,577,3736,NaN,1000,187538,33,3736,0,577,0,0
10.8762,1183,5897,NaN,1000,186833,33,5897,0,1183,0,0
10.9073,1967,8791,NaN,1000,186620,20,8791,0,1967,0,0
10.9458,2617,11476,NaN,1000,187247,31,11476,0,2617,0,0
10.9787,3221,13681,NaN,1000,186408,28,13681,0,3221,0,0
