stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_b,counts_t_a_b,counts_a_b
8.99380,443.000,3820.00,NaN,1000.00,185857,34.0000,3820.00,0.00000,443.000,0.00000,0.00000
9.02432,439.000,3925.00,NaN,1000.00,187175,25.0000,3925.00,0.00000,439.000,0.00000,0.00000
9.06156,437.000,3803.00,NaN,1000.00,186220,36.0000,3803.00,0.00000,437.000,0.00000,0.00000
9.09696,444.000,3812.00,NaN,1000.00,186772,41.0000,3812.00,0.00000,444.000,0.00000,0.00000
9.13053,474.000,3798.00,NaN,1000.00,186140,35.0000,3798.00,0.00000,474.000,0.00000,0.00000
9.16593,449.000,3847.00,NaN,1000.00,186521,29.0000,3847.00,0.00000,449.000,0.00000,0.00000
9.19889,432.000,3830.00,NaN,1000.00,186119,52.0000,3830.00,0.00000,432.000,0.00000,0.00000
9.23551,427.000,3774.00,NaN,1000.00,187120,23.0000,3774.00,0.00000,427.000,0.00000,0.00000
9.26908,433.000,3725.00,NaN,1000.00,186275,31.0000,3725.00,0.00000,433.000,0.00000,0.00000
9.30448,455.000,3733.00,NaN,1000.00,186234,33.0000,3733.00,0.00000,455.000,0.00000,0.00000
9.33866,445.000,3876.00,NaN,1000.00,187057,36.0000,3876.00,0.00000,445.000,0.00000,0.00000
9.37468,483.000,3938.00,NaN,1000.00,187025,32.0000,3938.00,0.00000,483.000,0.00000,0.00000
9.41069,423.000,3761.00,NaN,1000.00,186969,29.0000,3761.00,0.00000,423.000,0.00000,0.00000
9.44487,407.000,3781.00,NaN,1000.00,186615,26.0000,3781.00,0.00000,407.000,0.00000,0.00000
9.47966,403.000,3745.00,NaN,1000.00,186094,24.0000,3745.00,0.00000,403.000,0.00000,0.00000
9.51262,443.000,3881.00,NaN,1000.00,187023,32.0000,3881.00,0.00000,443.000,0.00000,0.00000
9.54802,422.000,3752.00,NaN,1000.00,187152,34.0000,3752.00,0.00000,422.000,0.00000,0.00000
9.58342,443.000,3742.00,NaN,1000.00,186395,23.0000,3742.00,0.00000,443.000,0.00000,0.00000
9.62004,480.000,3857.00,NaN,1000.00,187080,28.0000,3857.00,0.00000,480.000,0.00000,0.00000
9.65361,426.000,3738.00,NaN,1000.00,185859,31.0000,3738.00,0.00000,426.000,0.00000,0.00000
9.68780,415.000,3816.00,NaN,1000.00,185791,29.0000,3816.00,0.00000,415.000,0.00000,0.00000
9.72381,449.000,3839.00,NaN,1000.00,186615,32.0000,3839.00,0.00000,449.000,0.00000,0.00000
9.75799,439.000,3813.00,NaN,1000.00,186548,34.0000,3813.00,0.00000,439.000,0.00000,0.00000
9.79278,434.000,3934.00,NaN,1000.00,186748,21.0000,3934.00,0.00000,434.000,0.00000,0.00000
9.82940,469.000,3908.00,NaN,1000.00,186908,40.0000,3908.00,0.00000,469.000,0.00000,0.00000
9.86297,442.000,3859.00,NaN,1000.00,186219,27.0000,3859.00,0.00000,442.000,0.00000,0.00000
9.89898,446.000,3827.00,NaN,1000.00,185632,33.0000,3827.00,0.00000,446.000,0.00000,0.00000
9.93377,423.000,3800.00,NaN,1000.00,185928,28.0000,3800.00,0.00000,423.000,0.00000,0.00000
9.96796,463.000,3849.00,NaN,1000.00,186705,23.0000,3849.00,0.00000,463.000,0.00000,0.00000
10.0015,430.000,3757.00,NaN,1000.00,186660,37.0000,3757.00,0.00000,430.000,0.00000,0.00000
10.0388,435.000,3855.00,NaN,1000.00,186124,30.0000,3855.00,0.00000,435.000,0.00000,0.00000
10.0742,464.000,3724.00,0.00000,1000.00,187585,31.0000,3724.00,1.00000,464.000,0.00000,0.00000
10.1083,450.000,3940.00,NaN,1000.00,186843,21.0000,3940.00,0.00000,450.000,0.00000,0.00000
10.1425,439.000,3794.00,NaN,1000.00,186410,31.0000,3794.00,0.00000,439.000,0.00000,0.00000
10.1773,427.000,3845.00,NaN,1000.00,185926,37.0000,3845.00,0.00000,427.000,0.00000,0.00000
10.2115,429.000,3845.00,NaN,1000.00,187237,30.0000,3845.00,0.00000,429.000,0.00000,0.00000
10.2487,442.000,3875.00,NaN,1000.00,187193,31.0000,3875.00,0.00000,442.000,0.00000,0.00000
10.2817,432.000,3782.00,0.00000,1000.00,186545,20.0000,3782.00,1.00000,432.000,0.00000,0.00000
10.3165,420.000,3814.00,NaN,1000.00,185752,27.0000,3814.00,0.00000,420.000,0.00000,0.00000
10.3531,432.000,3768.00,NaN,1000.00,186401,26.0000,3768.00,0.00000,432.000,0.00000,0.00000
10.3867,450.000,3898.00,NaN,1000.00,185712,41.0000,3898.00,0.00000,450.000,0.00000,0.00000
10.4215,413.000,3891.00,NaN,1000.00,186472,19.0000,3891.00,0.00000,413.000,0.00000,0.00000
10.4569,471.000,3897.00,NaN,1000.00,186396,47.0000,3897.00,0.00000,471.000,0.00000,0.00000
10.4904,451.000,4117.00,NaN,1000.00,186909,27.0000,4117.00,0.00000,451.000,0.00000,0.00000
10.5264,444.000,4123.00,NaN,1000.00,186785,27.0000,4123.00,0.00000,444.000,0.00000,0.00000
10.5600,424.000,4041.00,NaN,1000.00,187046,31.0000,4041.00,0.00000,424.000,0.00000,0.00000
10.5966,451.000,4129.00,NaN,1000.00,186083,42.0000,4129.00,0.00000,451.000,0.00000,0.00000
10.6314,457.000,3978.00,NaN,1000.00,186524,29.0000,3978.00,0.00000,457.000,0.00000,0.00000
10.6650,450.000,3931.00,NaN,1000.00,186565,29.0000,3931.00,0.00000,450.000,0.00000,0.00000
10.7004,453.000,4088.00,NaN,1000.00,186000,30.0000,4088.00,0.00000,453.000,0.00000,0.00000
10.7346,450.000,4161.00,NaN,1000.00,186675,33.0000,4161.00,0.00000,450.000,0.00000,0.00000
10.7694,450.000,4093.00,NaN,1000.00,186636,29.0000,4093.00,0.00000,450.000,0.00000,0.00000
10.8060,481.000,4230.00,NaN,1000.00,186891,34.0000,4230.00,0.00000,481.000,0.00000,0.00000
10.8383,446.000,4108.00,NaN,1000.00,187079,28.0000,4108.00,0.00000,446.000,0.00000,0.00000
10.8774,428.000,4242.00,NaN,1000.00,186560,31.0000,4242.00,0.00000,428.000,0.00000,0.00000
10.9079,426.000,4156.00,NaN,1000.00,187933,29.0000,4156.00,0.00000,426.000,0.00000,0.00000
